  c_sec  | code_cultu_c | code_cultu_s |       s1_c       |       s1_s       |     s2_c      |      s2_s      |    tot_sai_c     |    tot_sai_s     |       pc_sau_c       |       pc_sau_s       
 811-02  | C81          | C3           |             4.85 |              0.2 |          0.38 |           0.07 |             5.23 |             0.27 |     0.16522607223191 |   0.0085298354689514
 811-01  | C81          | C3           |              2.2 |             0.58 |0|           0.04 |              2.2 |             0.62 |    0.203488909854413 |   0.0573468745953346
 753-04  | C81          | C3           |0|            12.08 |          0.12 |          16.11 |             0.12 |            28.19 |    0.010107476163202 |     2.37441460867221
 753-03  | C81          | C3           |             4.03 |              0.8 |0|           0.04 |             4.03 |             0.84 |    0.164070578847516 |    0.034198334052584
 753-02  | C81          | C3           |             0.73 |             0.13 |0|            2.3 |             0.73 |             2.43 |   0.0321608571529271 |    0.107056003947415
 812-01  | C81          | C3           |             0.44 |             0.04 |0|0|             0.44 |             0.04 |   0.0395232064099455 |   0.0035930187645405
 811-09  | C81          | C3           |            22.58 |            0.055 |         0.385 |0|           22.965 |            0.055 |     2.53103870125147 |  0.00606170818936777
 811-08  | C81          | C3           |            30.46 |            0.105 |         5.175 |0|           35.635 |            0.105 |     2.83947616903788 |  0.00836663386414977
 811-07  | C81          | C3           |           165.38 |              0.1 |         68.49 |           0.25 |           233.87 |             0.35 |     16.8655844577297 |    0.025240323941529
 811-06  | C81          | C3           |             0.03 |             1.42 |0|           0.34 |             0.03 |             1.76 | 0.000616296101516294 |   0.0361560379556226
 811-05  | C81          | C3           |            11.18 |0|0|0|            11.18 |0|     1.24096746622859 |0
 811-04  | C81          | C3           |             5.89 |             0.22 |         27.77 |           0.13 |            33.66 |             0.35 |     1.34607155853972 |   0.0139965848333007
 811-03  | C81          | C3           |             1.26 |             3.06 |0|           1.94 |             1.26 |5|   0.0405868994507884 |    0.161059124804716
 753-01  | C81          | C3           |             4.48 |             20.2 |          0.25 |          20.85 |             4.73 |            41.05 |    0.207497093724639 |     1.80079401636288
 752-03  | C81          | C3           |             1.19 |            52.13 |          0.03 |          55.87 |             1.22 |108|   0.0257955931823516 |     2.28354431450325
 922-01  | C81          | C3           |            80.74 |             0.05 |1|           0.25 |            81.74 |              0.3 |     5.43166232523524 |    0.019935144330445
 921-06  | C81          | C3           |             1.98 |             2.67 |          0.25 |0|             2.23 |             2.67 |    0.192769834546429 |    0.230805138223751
 921-05  | C81          | C3           |             7.63 |             0.06 |0|0|             7.63 |             0.06 |     1.03674112723518 |  0.00815261699005381
 921-04  | C81          | C3           |             9.63 |             0.14 |          0.33 |           0.12 |             9.96 |             0.26 |    0.728160663240315 |   0.0190082100845865
 921-03  | C81          | C3           |            29.14 |             0.53 |          0.21 |           0.12 |            29.35 |             0.65 |     1.16856849364155 |   0.0258797111027942
